class ,algorithm,mae,rmse,f1score,accuracy,precision,,
fridge ,Mean,78.221504,86.825846,0.637391,0.467773,0.467773,,
fridge ,FHMM_EXACT,43.465469,77.996933,0.781208,0.797092,0.788129,,
fridge ,Hart85,29.433466,62.708206,0.851006,0.868292,0.903721,,
fridge ,AFHMM,70.263237,102.32402,0.524298,0.517738,0.486731,,
fridge ,AFHMM_SAC,38.511974,58.616306,0.734874,0.670481,0.589183,,
fridge ,CombinatorialOptimisation,52.252468,83.378528,0.742315,0.781353,0.827165,,
microwave  ,Mean,16.557634,96.24929,0.192622,0.106575,0.106575,,
microwave  ,FHMM_EXACT,35.413544,153.170656,0.163029,0.877386,0.299124,,
microwave  ,Hart86,15.406017,97.401738,0,0.893425,0,,
microwave  ,AFHMM,88.575668,161.760752,0.225096,0.416209,0.131093,,
microwave  ,AFHMM_SAC,14.931919,70.961367,0.184068,0.812181,0.171382,,
microwave  ,CombinatorialOptimisation,38.539383,128.474538,0.272036,0.87084,0.340621,,
dish washer  ,Mean,20.992733,95.06399,0.027692,0.01404,0.01404,,
dish washer  ,FHMM_EXACT,67.189201,189.146035,0.145734,0.883432,0.081224,,
dish washer  ,Hart87,8.972035,95.421055,0,0.98596,0,, 
dish washer  ,AFHMM,90.881332,146.141573,0.034583,0.255171,0.017612,,
dish washer  ,AFHMM_SAC,18.32888,93.037664,0.077821,0.857899,0.042811,,
dish washer  ,CombinatorialOptimisation,66.408615,150.301111,0.061823,0.736135,0.032536,,
light ,Mean,25.094093,46.800373,0.368601,0.225942,0.225942,,
light ,FHMM_EXACT,49.26231,62.111187,0.356377,0.490157,0.249294,,
light ,Hart88,27.125608,53.560754,0,0.774058,0,,
light ,AFHMM,24.085457,45.167198,0.449881,0.665184,0.357749,,
light ,AFHMM_SAC,26.095428,46.996707,0.417451,0.452933,0.274855,,
light ,CombinatorialOptimisation,68.273514,81.684395,0.257442,0.19986,0.162873,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,0.162873,
